ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,RO,Rondônia,Urbana,Estadual,11024682,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11024968,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11025638,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11037962,0,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11038373,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11046252,1,1,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11006773,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11006889,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11007168,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11007885,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11007893,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11050233,1,1,1
2024,Norte,RO,Rondônia,Rural,Federal,11108800,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11034270,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11034440,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11026014,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11026073,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11026197,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11026278,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11026588,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11027134,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11027142,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11027207,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11027312,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11027320,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11027347,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11041250,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11041277,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11046740,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11049456,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11051167,0,1,0
2024,Norte,RO,Rondônia,Urbana,Federal,11109815,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11027401,1,1,1
